year,semester,month,lon_grid,lat_grid,value [ng/L]
2002,H2,8,117,36,0.8
2002,H2,8,118,24,2.7
2002,H2,11,123,41,6.65
2002,H2,11,124,41,2.2
2003,H2,10,105,29,1.55
2003,H2,10,106,29,0.2
2003,H2,10,106,30,0.2
2003,H2,10,106,31,0.2
2003,H2,10,107,29,8.4
2003,H2,10,107,30,7.95
2003,H2,10,108,30,10.15
2003,H2,10,109,30,10.3
2003,H2,10,109,31,5.1
2003,H2,10,110,30,12.2
2003,H2,10,110,31,1.9
2003,H2,10,111,30,1.7
2003,H2,10,113,29,6.6
2003,H2,10,113,30,25.5
2003,H2,10,114,30,3.4000000000000004
2004,H1,6,121,43,2.4
2004,H1,6,126,42,0.4
2004,H2,8,123,41,0.07071067811865475
2004,H2,11,106,29,0.2233838834764832
2004,H2,11,111,30,0.5
2004,H2,11,112,22,1.0
2004,H2,11,113,22,3.025
2004,H2,11,113,23,25.0
2004,H2,11,118,31,0.375
2004,H2,11,118,32,0.335
2004,H2,11,119,32,0.36
2004,H2,11,120,31,0.655
2004,H2,11,121,31,7.375
2005,H1,1,110,29,0.6
2005,H2,8,110,29,0.4
2005,H2,8,117,35,1.1
2006,H2,7,78,41,0.1
2006,H2,7,81,41,0.4
2006,H2,7,92,45,0.3
2006,H2,8,110,29,0.9
2006,H2,8,111,40,0.275
2006,H2,10,121,38,0.17
2006,H2,10,121,39,0.17
2006,H2,10,122,39,0.15
2007,H1,5,115,40,0.1414213562373095
2007,H1,5,117,38,1.55
2007,H1,5,117,39,1.5699999999999998
2008,H1,1,90,29,0.017
2008,H1,1,90,30,0.044
2008,H1,1,91,29,0.0315
2008,H1,1,101,29,0.0070710678118654745
2008,H1,1,101,36,0.58
2008,H1,1,104,30,0.915
2008,H1,4,110,34,0.15
2008,H1,4,110,35,0.15071067811865474
2008,H1,4,110,36,0.1414213562373095
2008,H1,4,110,37,0.1414213562373095
2008,H1,4,110,38,0.12
2008,H1,4,111,35,5.7
2008,H1,4,111,37,2.3
2008,H1,4,112,37,0.1414213562373095
2008,H1,5,117,38,1.55
2008,H1,5,117,39,1.5699999999999998
2008,H1,5,118,39,0.07071067811865475
2008,H1,5,119,39,0.9853553390593274
2008,H1,5,119,40,4.6
2008,H1,5,120,40,1.8853553390593274
2008,H1,5,121,38,0.07071067811865475
2008,H1,5,121,39,0.07071067811865475
2008,H1,5,121,40,1.7633883476483185
2008,H1,5,121,41,0.10606601717798213
2008,H1,5,122,39,2.0353553390593273
2008,H1,5,122,40,4.05
2008,H1,5,123,39,9.2
2008,H1,5,124,39,0.07071067811865475
