year,semester,month,lon_grid,lat_grid,value [ng/L]
2003,H2,9,12,55,0.72
2003,H2,9,24,60,11.28
2004,H2,10,16,50,1.1
2004,H2,10,16,51,7.3
2004,H2,10,18,50,6.06
2004,H2,10,19,50,152.5
2004,H2,10,20,49,4.8
2004,H2,10,21,50,2.22
2004,H2,10,22,50,7.9
2004,H2,11,18,53,0.8
2004,H2,11,18,54,2.645
2005,H1,1,9,53,7.929
2005,H1,2,18,59,1.8685
2005,H1,5,8,45,
2005,H1,6,9,54,0.349
2005,H2,8,-10,53,7.929
2005,H2,8,-9,53,3.642
2005,H2,8,-4,51,1.944
2005,H2,8,-4,56,0.139
2005,H2,8,-2,50,0.432
2005,H2,8,-2,51,0.298
2005,H2,8,1,49,0.239
2005,H2,8,2,50,0.117
2005,H2,8,5,48,0.103
2005,H2,8,6,49,0.154
2005,H2,8,8,53,3.642
2005,H2,8,9,53,7.929
2005,H2,10,8,45,
2005,H2,12,-1,51,
2006,H1,1,-1,51,
2006,H1,2,8,45,3.1
2006,H1,3,8,45,8.0
2006,H1,3,8,46,
2006,H1,4,6,50,5.0
2006,H1,4,6,51,6.0
2006,H1,4,7,47,12.0
2006,H1,4,7,48,17.0
2006,H1,4,7,49,6.0
2006,H1,4,7,50,5.0
2006,H1,4,7,51,13.0
2006,H1,4,8,45,16.0
2006,H1,4,8,48,4.0
2006,H1,4,8,49,7.0
2006,H1,4,8,50,12.0
2006,H1,4,8,51,340.5
2006,H1,5,-1,51,150.0
2006,H1,6,9,45,26.0
2006,H1,6,11,44,12.0
2006,H2,7,-3,51,
2006,H2,7,7,51,
2006,H2,7,8,51,1540.0
2006,H2,8,-4,50,
2006,H2,8,-3,51,
2006,H2,8,-2,50,
2006,H2,8,-2,52,
2006,H2,8,-1,51,
2006,H2,8,0,51,
2006,H2,8,7,51,48.0
2006,H2,8,8,51,41.0
2006,H2,9,-5,50,
2006,H2,9,-4,50,
2006,H2,9,-4,51,
2006,H2,9,-3,51,
2006,H2,9,-2,50,
2006,H2,9,-2,52,
2006,H2,9,-1,51,
2006,H2,9,0,50,
2006,H2,9,0,51,
2006,H2,9,6,51,
2006,H2,9,7,51,
2006,H2,9,8,51,137.0
2006,H2,9,8,52,35.5
2006,H2,9,9,51,29.0
2006,H2,9,11,44,10.0
2006,H2,10,-5,50,
2006,H2,10,-4,50,
2006,H2,10,-3,51,
2006,H2,10,-2,50,
2006,H2,10,-2,52,
2006,H2,10,-1,51,
2006,H2,10,0,50,14500.0
2006,H2,10,0,51,
2006,H2,10,6,51,360.0
2006,H2,10,7,51,42.5
2006,H2,10,7,52,
2006,H2,10,8,51,210.0
2006,H2,10,9,45,24.0
2006,H2,10,11,44,7.0
2006,H2,11,-5,50,
2006,H2,11,-4,50,
2006,H2,11,-3,51,
2006,H2,11,-3,53,
2006,H2,11,-2,50,
2006,H2,11,-2,52,
2006,H2,11,-1,51,
2006,H2,11,0,50,
2006,H2,11,0,51,
2006,H2,11,6,50,150.0
2006,H2,11,6,51,19.0
2006,H2,11,6,52,25.0
2006,H2,11,7,50,17.0
2006,H2,11,7,51,47.0
2006,H2,11,8,50,
2006,H2,11,8,51,280.0
2006,H2,11,8,52,
2006,H2,11,9,51,
2006,H2,12,-4,50,110.0
2006,H2,12,-3,51,270.0
2006,H2,12,-2,50,
2006,H2,12,-2,52,
2006,H2,12,-1,51,
2006,H2,12,0,50,
2006,H2,12,0,51,
2006,H2,12,6,50,
2006,H2,12,6,51,410.0
2006,H2,12,7,51,46.0
2006,H2,12,8,45,8.0
2006,H2,12,8,51,50.0
2006,H2,12,9,45,27.0
2007,H1,1,-3,51,
2007,H1,1,-3,53,
2007,H1,1,-2,50,
2007,H1,1,-2,52,
2007,H1,1,-1,51,
2007,H1,1,0,50,
2007,H1,1,0,51,
2007,H1,1,6,50,
2007,H1,1,6,51,13.0
2007,H1,1,7,50,11.0
2007,H1,1,7,51,14.0
2007,H1,1,7,52,
2007,H1,1,8,49,5.55
2007,H1,1,8,51,64.0
2007,H1,1,8,53,2.28
2007,H1,1,9,48,10.875
2007,H1,1,9,49,7.65
2007,H1,1,9,53,6.34
2007,H1,1,11,48,1.190553
2007,H1,1,13,48,0.852845
2007,H1,1,14,48,0.861952
2007,H1,1,15,48,0.794107
2007,H1,1,16,48,1.132574
2007,H1,2,-3,51,
2007,H1,2,-3,53,458.0
2007,H1,2,-3,54,
2007,H1,2,-2,52,
2007,H1,2,-2,53,
2007,H1,2,-1,51,
2007,H1,2,0,41,2.0300000000000002
2007,H1,2,0,51,
2007,H1,2,1,41,5.88
2007,H1,2,6,50,
2007,H1,2,6,51,14.5
2007,H1,2,7,45,3.0
2007,H1,2,7,50,11.0
2007,H1,2,7,51,31.0
2007,H1,2,7,52,66.0
2007,H1,2,8,45,1.5
2007,H1,2,8,49,7.15
2007,H1,2,8,50,
2007,H1,2,8,51,60.0
2007,H1,2,9,45,7.0
2007,H1,2,9,48,28.1
2007,H1,2,9,49,12.0
2007,H1,3,-4,50,
2007,H1,3,-3,51,
2007,H1,3,-3,53,
2007,H1,3,-3,54,
2007,H1,3,-2,52,
2007,H1,3,-1,51,
2007,H1,3,0,50,533.0
2007,H1,3,0,51,
2007,H1,3,6,50,
2007,H1,3,6,51,241.5
2007,H1,3,7,50,
2007,H1,3,7,51,22.0
2007,H1,3,8,44,2.0
2007,H1,3,8,45,7.75
2007,H1,3,8,49,4.300000000000001
2007,H1,3,8,51,265.0
2007,H1,3,9,45,16.5
2007,H1,3,9,48,6.7
2007,H1,3,9,49,9.5
2007,H1,3,10,45,6.75
2007,H1,3,11,45,
2007,H1,4,-4,50,
2007,H1,4,-3,51,
2007,H1,4,-3,53,
2007,H1,4,-2,50,147.0
2007,H1,4,-2,52,
2007,H1,4,-1,51,
2007,H1,4,0,51,
2007,H1,4,6,51,
2007,H1,4,7,50,
2007,H1,4,7,51,16.0
2007,H1,4,7,52,
2007,H1,4,8,49,6.775
2007,H1,4,8,51,233.25
2007,H1,4,9,48,5.3500000000000005
2007,H1,4,9,49,5.0
2007,H1,5,-1,51,
2007,H1,5,0,50,
2007,H1,5,3,51,72.5
2007,H1,5,4,51,50.2
2007,H1,5,6,51,19.0
2007,H1,5,7,50,12.0
2007,H1,5,7,51,22.5
2007,H1,5,7,52,
2007,H1,5,8,49,23.5
2007,H1,5,8,51,78.5
2007,H1,5,9,48,7.9
2007,H1,5,9,49,74.0
2007,H1,5,9,53,1.9
2007,H1,5,10,53,1.63
2007,H1,6,-1,51,
2007,H1,6,0,50,
2007,H1,6,6,51,22.0
2007,H1,6,7,50,23.0
2007,H1,6,7,51,21.0
2007,H1,6,7,52,
2007,H1,6,8,49,6.85
2007,H1,6,8,51,99.0
2007,H1,6,8,53,1.4
2007,H1,6,9,48,5.1
2007,H1,6,9,49,12.0
2007,H1,6,9,53,1.8
2007,H2,7,-4,51,
2007,H2,7,-2,52,
2007,H2,7,-1,51,
2007,H2,7,6,51,14.0
2007,H2,7,7,50,15.0
2007,H2,7,7,51,32.5
2007,H2,7,7,52,
2007,H2,7,8,49,4.4
2007,H2,7,8,51,61.0
2007,H2,7,9,48,4.15
2007,H2,7,9,49,8.5
2007,H2,8,0,50,
2007,H2,8,6,51,21.0
2007,H2,8,7,50,15.0
2007,H2,8,7,51,22.0
2007,H2,8,7,52,
2007,H2,8,8,49,5.9
2007,H2,8,8,50,
2007,H2,8,8,51,202.5
2007,H2,8,8,53,2.25
2007,H2,8,9,48,12.2959596916315
2007,H2,8,9,49,1.6
2007,H2,8,9,53,7.050000000000001
2007,H2,8,10,53,7.215
2007,H2,8,11,48,9.07646181157982
2007,H2,8,12,48,7.3834491874156
2007,H2,8,13,48,4.2
2007,H2,8,14,48,9.68194072009282
2007,H2,8,15,48,6.64838965082472
2007,H2,8,16,48,14.6011841170739
2007,H2,9,0,50,
2007,H2,9,6,51,15.5
2007,H2,9,7,50,11.5
2007,H2,9,7,51,12.0
2007,H2,9,8,49,8.65
2007,H2,9,8,51,64.5
2007,H2,9,9,48,35.1
2007,H2,9,9,49,11.0
2007,H2,10,-4,51,
2007,H2,10,-2,52,
2007,H2,10,-1,51,18.0
2007,H2,10,6,51,387.0
2007,H2,10,7,50,78.0
2007,H2,10,7,51,79.0
2007,H2,10,7,52,
2007,H2,10,8,49,7.7
2007,H2,10,8,51,114.75
2007,H2,10,8,53,3.12
2007,H2,10,9,48,10.15
2007,H2,10,9,49,13.0
2007,H2,10,9,53,6.056
2007,H2,11,-1,51,
2007,H2,11,0,50,
2007,H2,11,6,51,15.0
2007,H2,11,7,50,14.0
2007,H2,11,7,51,14.0
2007,H2,11,7,52,
