year,semester,month,lon_grid,lat_grid,value [ng/L]
2001,H1,2,-87,42,17.415
2001,H1,2,-86,42,7.0600000000000005
2001,H1,2,-85,42,1.04
2001,H1,2,-85,43,2.83
2001,H1,2,-84,41,0.5
2001,H1,2,-84,42,5.72
2001,H1,2,-84,43,12.5
2001,H1,3,-87,43,3.345
2001,H1,3,-87,45,0.98
2001,H1,3,-86,43,1.9
2001,H1,3,-84,43,1.5
2001,H1,3,-84,44,6.34
2001,H1,3,-84,45,0.87
2001,H1,3,-83,42,2.78
2001,H1,4,-84,42,6.13
2001,H1,6,-79,42,0.00282842712474619
2001,H2,11,-86,41,7.22
2002,H2,9,-78,43,6.6
2003,H2,8,-84,41,38.5
2004,H1,6,-79,43,4.913
2004,H2,7,-80,42,3.0
2004,H2,7,-80,43,5.5
2004,H2,7,-79,42,4.25
2004,H2,7,-79,43,4.9
2004,H2,7,-78,42,1.6
2004,H2,7,-78,43,4.9
2004,H2,7,-77,42,1.6
2004,H2,7,-77,43,4.9
2004,H2,7,-76,43,3.5
2004,H2,7,-75,42,6.4
2004,H2,7,-75,43,6.4
2004,H2,7,-74,41,1.7
2004,H2,7,-74,42,1.7
2004,H2,7,-74,43,1.7
2004,H2,7,-74,44,2.7
2005,H1,5,-93,46,0.292
2005,H1,5,-92,47,0.10394469683442248
2005,H1,5,-90,47,0.124
2005,H1,5,-89,47,0.10394469683442248
2005,H1,5,-88,47,0.111
2005,H1,5,-87,47,0.27997234841721125
2005,H1,5,-86,47,0.10394469683442248
2005,H1,5,-85,46,0.10394469683442248
2005,H1,6,-123,48,0.135
2005,H1,6,-90,47,0.124
2005,H2,8,-92,47,0.17697234841721124
2005,H2,8,-90,47,0.2522361742086056
2005,H2,8,-89,47,0.229
2005,H2,8,-87,47,0.19825
2005,H2,8,-86,47,0.362
2005,H2,8,-85,46,0.237
2005,H2,9,-92,47,0.362
2005,H2,9,-90,47,0.701
2005,H2,9,-89,47,0.19347234841721125
2005,H2,9,-87,47,0.10300000000000001
2005,H2,9,-86,46,0.3
2005,H2,9,-86,47,0.414
2005,H2,9,-85,46,0.414
2005,H2,9,-83,41,0.996
2005,H2,10,-93,46,0.10394469683442248
2005,H2,10,-90,47,0.254
2005,H2,10,-89,47,0.051
2005,H2,10,-87,47,0.11549999999999999
2006,H1,3,-85,34,71.65
2006,H1,3,-82,31,2.6
2006,H1,4,-80,35,34.9
2006,H1,4,-79,34,30.0
2006,H1,4,-79,35,53.349999999999994
2006,H1,6,-88,41,0.901
2006,H1,6,-88,42,0.48
2006,H1,6,-88,45,0.524
2006,H1,6,-87,44,0.326
2006,H2,11,-94,44,105.0
2006,H2,11,-93,44,23.1
2007,H1,4,-94,44,23.1
2007,H1,4,-84,41,1.35
2007,H1,4,-79,42,2.4
2007,H1,6,-80,43,2.229
2007,H2,8,-94,44,7.59
2007,H2,8,-85,45,1.176
2007,H2,8,-84,41,1.6
2007,H2,8,-84,43,1.13
2007,H2,8,-83,43,0.507
2007,H2,8,-83,45,0.619
2007,H2,8,-79,42,2.7
2008,H1,1,-82,42,7.305
2008,H1,3,-93,44,4.69
2008,H1,3,-92,43,9.44
2008,H1,3,-92,44,8.135
2008,H1,3,-91,38,3.94
2008,H1,3,-91,41,12.93
2008,H1,3,-90,40,7.03
2008,H1,3,-89,41,15.2
2008,H1,3,-88,41,17.6
2008,H1,4,-97,42,1.68
2008,H1,4,-96,41,1.65
2008,H1,4,-95,37,4.05
2008,H1,4,-95,39,9.11
2008,H1,4,-94,45,1.35
2008,H1,4,-93,46,58.2
2008,H1,4,-93,47,124.0
2008,H1,4,-92,40,1.83
2008,H1,4,-92,43,2.34
2008,H1,4,-92,44,1.71
2008,H1,4,-91,38,2.51
2008,H1,4,-91,41,6.93
2008,H1,4,-90,40,4.6450000000000005
2008,H1,4,-89,41,19.5
2008,H1,4,-88,41,27.4
2008,H1,4,-79,43,4.3375
2008,H1,5,-123,45,0.1414213562373095
2008,H1,5,-97,45,5.16
2008,H1,5,-96,44,2.41
2008,H1,5,-94,44,1.92
2008,H1,5,-93,44,3.4400000000000004
2008,H1,5,-92,39,2.98
2008,H1,5,-92,40,2.03
2008,H1,5,-92,41,4.63
2008,H1,5,-92,43,4.07
2008,H1,5,-92,44,1.98
2008,H1,5,-91,38,2.7649999999999997
2008,H1,5,-91,39,3.33
2008,H1,5,-91,40,5.24
2008,H1,5,-91,41,2.9749999999999996
2008,H1,5,-91,42,3.37
2008,H1,5,-90,37,2.04
2008,H1,5,-90,40,5.07
2008,H1,5,-90,41,6.5600000000000005
2008,H1,5,-90,47,0.0025003295782756317
2008,H1,5,-89,41,10.58
2008,H1,5,-88,41,50.8
2008,H1,5,-87,47,0.0025003295782756317
2008,H1,5,-85,46,0.0025003295782756317
2008,H1,6,-124,47,0.28
2008,H1,6,-119,47,0.1414213562373095
2008,H2,7,-123,47,0.08838834764831843
2008,H2,7,-121,47,0.014142135623730949
