year,month,lon_grid,lat_grid,value [ng/L]
2001,2,-87,42,17.415
2001,2,-86,42,7.0600000000000005
2001,2,-85,42,1.04
2001,2,-85,43,2.83
2001,2,-84,41,0.5
2001,2,-84,42,5.72
2001,2,-84,43,12.5
2001,3,-87,43,3.345
2001,3,-87,45,0.98
2001,3,-86,43,1.9
2001,3,-84,43,1.5
2001,3,-84,44,6.34
2001,3,-84,45,0.87
2001,3,-83,42,2.78
2001,4,-84,42,6.13
2001,11,-86,41,7.22
2002,3,136,35,8.7
2002,3,139,35,12.7
2002,8,117,36,0.8
2002,8,118,24,2.7
2002,9,-78,43,6.6
2002,11,123,41,6.65
2002,11,124,41,2.2
2003,3,129,33,0.94
2003,3,130,32,0.57
2003,3,130,33,1.2349999999999999
2003,3,131,33,0.45
2003,3,131,34,0.69
2003,3,132,33,0.4
2003,3,132,34,0.535
2003,3,132,35,25.1
2003,3,133,33,1.3199999999999998
2003,3,133,34,0.87
2003,3,133,35,0.55
2003,3,134,34,0.67
2003,3,135,34,14.22
2003,3,136,35,3.88
2003,3,137,34,1.3699999999999999
2003,3,137,35,0.46
2003,3,138,34,0.57
2003,3,138,35,1.42
2003,3,138,36,2.745
2003,3,138,37,4.02
2003,3,139,35,3.04
2003,3,139,36,4.1450000000000005
2003,3,139,37,0.87
2003,3,139,38,2.82
2003,3,139,39,1.77
2003,3,140,36,0.33
2003,3,140,37,0.45
2003,3,140,38,0.9
2003,3,140,39,1.4
2003,3,140,40,0.6
2003,3,141,38,3.27
2003,3,141,39,1.15
2003,3,141,40,2.63
2003,3,144,43,1.9
2003,4,135,34,8.3
2003,4,135,35,1.5
2003,4,141,42,0.31
2003,5,135,34,7.2
2003,6,141,42,0.16
2003,8,-95,74,35.4
2003,8,-94,75,1.2
2003,8,-84,41,38.5
2003,8,-83,41,33.0
2003,8,-82,42,32.0
2003,8,-80,42,21.5
2003,8,-80,43,63.5
2003,8,-79,43,36.25
2003,8,-78,43,85.5
2003,9,10,61,0.43
2003,9,11,61,0.44
2003,9,12,55,0.72
2003,9,24,60,11.28
2003,10,105,29,1.55
2003,10,106,29,0.2
2003,10,106,30,0.2
2003,10,106,31,0.2
2003,10,107,29,8.4
2003,10,107,30,7.95
2003,10,108,30,10.15
2003,10,109,30,10.3
2003,10,109,31,5.1
2003,10,110,30,12.2
2003,10,110,31,1.9
2003,10,111,30,1.7
2003,10,113,29,6.6
2003,10,113,30,25.5
2003,10,114,30,3.4000000000000004
2003,10,141,42,0.16
2003,12,141,42,0.64
2004,6,-84,42,1.92
2004,6,-80,43,5.669
2004,6,-79,43,4.913
2004,6,121,43,2.4
2004,6,126,37,43.415000000000006
2004,6,126,42,0.4
2004,7,-80,42,3.0
2004,7,-80,43,3.85
2004,7,-79,42,4.25
2004,7,-79,43,3.5500000000000003
2004,7,-78,42,1.6
2004,7,-78,43,4.9
2004,7,-77,42,1.6
2004,7,-77,43,4.9
2004,7,-76,43,3.5
2004,7,-75,42,6.4
2004,7,-75,43,6.4
2004,7,-74,41,1.7
2004,7,-74,42,1.7
2004,7,-74,43,1.7
2004,7,-74,44,2.7
2004,9,-80,43,6.8
2004,9,79,6,4.5
2004,9,79,7,0.835
2004,9,80,7,2.45
2004,10,16,50,1.1
2004,10,16,51,7.3
2004,10,18,50,6.06
2004,10,19,50,152.5
2004,10,20,49,4.8
2004,10,21,50,2.22
2004,10,22,50,7.9
2004,11,-83,43,2.9
2004,11,-80,42,4.2
2004,11,-80,43,5.4
2004,11,18,53,0.8
2004,11,18,54,2.645
2004,11,106,29,0.26
2004,11,111,30,0.5
2004,11,112,22,1.0
2004,11,113,22,3.025
2004,11,113,23,25.0
2004,11,118,31,0.375
2004,11,118,32,0.335
2004,11,119,32,0.36
2004,11,120,31,0.655
2004,11,121,31,7.375
2004,11,135,34,24.0
2005,1,9,53,7.929
2005,1,110,29,0.6
2005,2,18,59,1.8685
2005,2,135,34,8.7
2005,3,135,34,38.0
2005,3,135,35,4.7
2005,5,-93,46,0.292
2005,5,-90,47,0.124
2005,5,-88,47,0.111
2005,5,-87,47,0.456
2005,5,-87,48,0.291
2005,5,-85,46,1.2
2005,5,-84,46,1.2
2005,5,-83,46,1.25
2005,6,-123,48,0.135
2005,6,-123,49,0.08
2005,6,-123,50,0.1
2005,6,-121,49,0.172
2005,6,-120,49,1.514
2005,6,-112,49,1.319
2005,6,-111,49,0.286
2005,6,-111,51,1.235
2005,6,-109,52,1.216
2005,6,-108,51,0.116
2005,6,-108,52,1.937
2005,6,-107,51,0.578
2005,6,-103,50,0.086
2005,6,-101,50,0.73
2005,6,-100,49,0.335
2005,6,-98,50,1.4045
2005,6,-95,49,0.584
2005,6,-90,47,0.124
2005,6,-89,49,0.4145
2005,6,-87,48,0.342
2005,6,-85,47,0.002
2005,6,-83,41,1.035
2005,6,-83,42,5.279
2005,6,-82,42,1.509
2005,6,-81,42,0.278
2005,6,-80,42,4.959
2005,6,9,54,0.349
2005,7,-95,74,37.5
2005,8,-95,74,44.0
2005,8,-92,47,0.25
2005,8,-90,47,0.345
2005,8,-89,47,0.229
2005,8,-89,49,0.827
2005,8,-88,48,0.271
2005,8,-87,47,0.19825
2005,8,-87,48,0.293
2005,8,-86,47,0.362
2005,8,-85,46,0.237
2005,8,-85,47,0.342
2005,8,-10,53,7.929
2005,8,-9,53,3.642
2005,8,-4,51,1.944
2005,8,-4,56,0.139
2005,8,-2,50,0.432
2005,8,-2,51,0.298
2005,8,1,49,0.239
2005,8,2,50,0.117
2005,8,5,48,0.103
2005,8,6,49,0.154
2005,8,8,53,3.642
2005,8,9,53,7.929
2005,8,110,29,0.4
2005,8,117,35,1.1
2005,9,-92,47,0.362
2005,9,-90,47,0.701
2005,9,-89,47,0.28300000000000003
2005,9,-88,48,0.3
2005,9,-87,47,0.10300000000000001
2005,9,-87,48,0.309
2005,9,-86,46,0.3
2005,9,-86,47,0.414
2005,9,-85,46,0.414
2005,9,-83,41,0.996
2005,9,-80,42,0.972
2005,9,-80,43,4.8
2005,10,-90,47,0.254
2005,10,-89,47,0.051
2005,10,-88,48,0.028
2005,10,-87,47,0.11549999999999999
2005,10,-83,46,3.6
2005,11,133,34,2.7
2005,11,134,34,0.72
2005,11,135,34,56.0
2005,11,137,34,17.0
2005,11,139,35,1.0
2005,11,139,38,0.75
2005,11,140,40,6.9
2005,11,141,38,7.5
2005,11,143,44,1.2
2005,12,131,31,3.0
2005,12,135,34,25.0
2005,12,139,35,143.0
2005,12,140,36,1.2
2006,2,8,45,3.1
2006,3,-85,34,71.65
2006,3,-82,31,2.6
2006,3,8,45,8.0
2006,4,-80,35,34.9
2006,4,-79,34,30.0
2006,4,-79,35,53.349999999999994
2006,4,6,50,5.0
2006,4,6,51,6.0
2006,4,7,47,8.0
2006,4,7,48,17.0
2006,4,7,49,6.0
2006,4,7,50,5.0
2006,4,7,51,13.0
2006,4,8,45,16.0
2006,4,8,47,5.0
2006,4,8,48,4.0
2006,4,8,49,7.0
2006,4,8,50,12.0
2006,4,8,51,340.5
2006,5,-1,51,150.0
2006,5,15,78,0.29
2006,5,16,78,0.2871
2006,6,-88,41,0.901
2006,6,-88,42,0.48
2006,6,-88,45,0.524
2006,6,-87,44,0.326
2006,6,-75,45,0.767
2006,6,-73,45,2.158
2006,6,-73,46,4.35
2006,6,-72,47,0.356
2006,6,-71,46,7.819
2006,6,-64,46,0.9470000000000001
2006,6,-63,46,0.696
2006,6,8,47,72.0
2006,6,9,45,26.0
2006,6,11,44,12.0
2006,7,8,51,1540.0
2006,7,78,41,0.1
2006,7,81,41,0.4
2006,7,92,45,0.3
2006,8,-77,43,7.7
2006,8,-77,44,7.3
2006,8,7,51,48.0
2006,8,8,51,41.0
2006,8,110,29,0.9
2006,8,111,40,0.3
2006,9,8,51,137.0
2006,9,8,52,35.5
2006,9,9,51,29.0
2006,9,11,44,10.0
2006,10,0,50,14500.0
2006,10,6,51,360.0
2006,10,7,51,42.5
2006,10,8,51,210.0
2006,10,9,45,24.0
2006,10,11,44,7.0
2006,10,121,38,0.17
2006,10,121,39,0.17
2006,10,122,39,0.15
2006,11,-94,44,105.0
2006,11,-93,44,23.1
2006,11,-77,43,7.1
2006,11,-77,44,6.3
2006,11,6,50,150.0
2006,11,6,51,19.0
2006,11,6,52,25.0
2006,11,7,50,17.0
2006,11,7,51,47.0
2006,11,8,51,280.0
2006,12,-4,50,110.0
2006,12,-3,51,270.0
2006,12,6,51,410.0
2006,12,7,51,46.0
2006,12,8,45,8.0
2006,12,8,51,50.0
2006,12,9,45,27.0
2006,12,34,-1,0.56
2007,1,6,51,13.0
2007,1,7,50,11.0
2007,1,7,51,14.0
2007,1,8,49,5.55
2007,1,8,51,64.0
2007,1,8,53,2.28
2007,1,9,48,10.875
2007,1,9,49,7.65
2007,1,9,53,6.34
2007,1,11,48,1.190553
2007,1,13,48,0.852845
2007,1,14,48,0.861952
2007,1,15,48,0.794107
2007,1,16,48,1.132574
2007,2,-80,42,1.427
2007,2,-3,53,458.0
2007,2,0,41,2.0300000000000002
2007,2,1,41,5.88
2007,2,6,51,14.5
2007,2,7,45,3.0
2007,2,7,50,11.0
2007,2,7,51,31.0
2007,2,7,52,66.0
2007,2,8,45,1.5
2007,2,8,49,7.15
2007,2,8,51,60.0
2007,2,9,45,7.0
